Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick
Brian Allen,C,Michigan State,01-Jun,298,5.34,26.5,27,99,7.81,4.71,111
David Bright,OT,Stanford,05-Jun,307,,,,,,,-1
Orlando Brown,OT,Oklahoma,08-Jun,345,5.85,19.5,14,82,7.87,5.38,83
Alex Cappa,OT,Humboldt State,06-Jun,305,5.39,26.5,24,97,8.04,4.84,94
Geron Christian,OT,Louisville,05-Jun,298,5.33,,19,,,,74
Will Clapp,C,LSU,04-Jun,311,5.39,29,25,97,8.04,4.92,245
Mason Cole,C,Michigan,04-Jun,307,5.23,23.5,23,104,7.77,4.78,97
Austin Corbett,OG,Nevada,04-Jun,306,5.15,28,19,106,7.87,4.5,33
Tyrell Crosby,OT,Oregon,05-Jun,309,5.23,30,17,105,7.89,4.77,153
James Daniels,C,Iowa,03-Jun,306,,30.5,21,108,7.29,4.4,39
Jamil Demby,OG,Maine,04-Jun,319,5.58,23.5,17,98,7.86,4.95,192
Nick Gates,OT,Nebraska,05-Jun,307,5.46,24,20,94,7.61,4.68,-1
Colby Gossett,OG,Appalachian State,05-Jun,311,5.2,25,32,103,7.6,4.83,213
Desmond Harrison,OT,West Georgia,06-Jun,292,4.9,,,,,,-1
Taylor Hearn,OG,Clemson,04-Jun,320,5.45,24,18,96,7.84,4.8,-1
Will Hernandez,OG,Texas-El Paso,02-Jun,327,5.15,24,37,104,7.59,4.7,34
Jamarco Jones,OT,Ohio State,04-Jun,299,5.5,24,,102,8.32,4.99,168
Sam Jones,OG,Arizona State,05-Jun,305,5.32,27,28,101,7.92,4.86,183
Jaryd Jones-Smith,OT,Pittsburgh,06-Jun,317,5.22,27,16,109,8.1,4.94,-1
Rick Leonard,OT,Florida State,07-Jun,311,,,19,,,,127
Cole Madison,OL,Washington State,05-Jun,308,5.33,28.5,26,97,7.86,4.88,138
K.J. Malone,OG,LSU,04-Jun,303,5.34,29.5,15,103,,,-1
Kc McDermott,OG,Miami (FL),06-Jun,311,5.35,23.5,26,97,7.72,4.82,-1
Mike McGlinchey,OT,Notre Dame,08-Jun,309,,28.5,24,105,,,9
Kolton Miller,OT,UCLA,09-Jun,309,4.95,31.5,24,121,7.34,4.49,15
Quenton Nelson,OG,Notre Dame,05-Jun,325,,26.5,35,105,7.65,4.62,6
Joseph Noteboom,OT,TCU,05-Jun,309,4.96,24,27,102,7.65,4.44,89
Brian O'neill,OT,Pittsburgh,07-Jun,297,4.82,29.5,22,107,7.14,4.5,62
Chukwuma Okorafor,OT,West. Michigan,06-Jun,320,5.31,23.5,19,102,7.87,4.8,92
Brandon Parker,OT,North Carolina A&T,08-Jun,305,5.4,28.5,,113,7.82,4.68,65
Timon Parris,OT,Stony Brook,06-Jun,312,,,27,,,,-1
Skyler Phillips,OG,Idaho State,03-Jun,318,5.1,29,,104,7.95,4.69,-1
Billy Price,C,Ohio State,04-Jun,305,,,,,,,21
Scott Quessenberry,C,UCLA,04-Jun,310,5.09,33.5,25,111,7.5,4.69,155
Frank Ragnow,C,Arkansas,05-Jun,312,,,26,,,,20
Martinas Rankin,OL,Mississippi State,04-Jun,308,,,24,,,,80
Will Richardson,OT,North Carolina State,06-Jun,306,5.26,31.5,,108,7.8,4.83,129
Greg Senat,OT,Wagner,06-Jun,302,5.38,26,19,106,7.41,4.71,212
Coleman Shelton,C,Washington,03-Jun,292,5.24,26.5,,110,7.62,4.59,-1
Braden Smith,OG,Auburn,06-Jun,315,5.22,33.5,35,113,,4.77,37
Rod Taylor,OT,Mississippi,03-Jun,320,5.24,30.5,,99,,,252
Wyatt Teller,OG,Virginia Tech,04-Jun,314,5.24,29,30,114,7.45,4.84,166
Brett Toth,OT,Army,06-Jun,291,,,,,,,-1
Salesi Uhatafe,OG,Utah,05-Jun,310,5.4,28,,109,7.7,4.9,-1
Toby Weathersby,OT,LSU,04-Jun,317,5.34,24.5,28,106,8.55,5.38,-1
Sean Welsh,C,Iowa,03-Jun,306,5.43,25,20,103,7.9,4.81,-1
Connor Williams,OT,Texas,05-Jun,296,5.05,34,26,112,7.83,4.63,50
Isaiah Wynn,OG,Georgia,03-Jun,313,,,,,,,23
Paul Adams,OT,Missouri,06-Jun,317,5.18,27,16,103,7.68,4.74,-1
Zack Bailey,OL,South Carolina,05-Jun,299,,28,24,103,,,-1
Alex Bars,OL,Notre Dame,06-Jun,312,,,,,,,-1
Jackson Barton,OT,Utah,07-Jun,310,5.18,27,25,109,7.85,4.66,240
Ryan Bates,OL,Penn State,04-Jun,306,5.09,27,28,102,7.45,4.53,-1
Beau Benzschawel,OL,Wisconsin,06-Jun,309,5.24,,20,,,,-1
Garrett Bradbury,OL,North Carolina State,03-Jun,306,4.92,31,34,104,7.41,4.53,18
Yodny Cajuste,OT,West Virginia,05-Jun,312,,,32,,,,101
Deion Calhoun,OL,Mississippi State,02-Jun,310,5.07,28.5,26,105,7.46,4.62,-1
Dennis Daley,OT,South Carolina,05-Jun,317,5.23,26.5,20,103,7.95,4.92,212
Nate Davis,OL,Charlotte,03-Jun,316,5.23,26,23,107,7.94,4.83,82
Michael Deiter,OL,Wisconsin,05-Jun,309,5.23,28,21,105,7.88,4.81,78
Andre Dillard,OT,Washington State,05-Jun,315,4.96,29,24,118,7.44,4.4,22
Chuma Edoga,OT,USC,03-Jun,308,5.19,,21,,,,92
David Edwards,OT,Wisconsin,06-Jun,308,5.28,25.5,,99,7.69,4.77,169
Bobby Evans,OT,Oklahoma,04-Jun,312,5.2,,22,,,,97
Cody Ford,OT,Oklahoma,04-Jun,329,5.21,28.5,19,104,8.27,4.87,38
Hjalte Froholdt,OL,Arkansas,05-Jun,306,5.2,27.5,31,105,7.51,4.54,118
Lamont Gaillard,OL,Georgia,03-Jun,305,,,,,,,179
Derwin Gray,OT,Maryland,04-Jun,320,5.26,,26,90,,,219
Donnell Greene,OT,Minnesota,05-Jun,335,,,,,,,-1
Ethan Greenidge,OL,Villanova,04-Jun,327,,,,,,,-1
Phil Haynes,OL,Wake Forest,04-Jun,322,5.2,31,33,108,7.76,4.95,124
Nate Herbig,OL,Stanford,03-Jun,335,5.41,24,29,90,8.15,5.04,-1
Tytus Howard,OT,Alabama State,05-Jun,322,5.05,29.5,21,103,8.34,4.87,23
Mitch Hyatt,OT,Clemson,05-Jun,303,,25.5,28,102,7.72,4.52,-1
Martez Ivey,OL,Florida,05-Jun,315,,,,,,,-1
Andre James,OT,UCLA,04-Jun,299,5.32,29,21,105,8,4.84,-1
Elgton Jenkins,OL,Mississippi State,04-Jun,310,,28,29,109,7.77,4.62,44
Devon Johnson,OT,Ferris State,07-Jun,338,5.16,27.5,26,89,8.34,5.28,-1
Fred Johnson,OL,Florida,07-Jun,326,,,,,,,-1
Tyler Jones,OT,North Carolina State,03-Jun,306,,31.5,23,111,7.75,4.82,-1
Michael Jordan,OT,Ohio State,06-Jun,312,5.27,32.5,19,116,7.71,4.71,136
Brandon Knight,OT,Indiana,04-Jun,314,,,,,,,-1
Chris Lindstrom,OL,Boston Col.,04-Jun,308,4.91,30.5,25,117,7.61,4.54,14
Greg Little,OT,Mississippi,05-Jun,310,5.33,25,,113,,4.74,37
Erik McCoy,OL,Texas A&M,04-Jun,303,4.89,31,29,107,8.28,4.62,48
Kaleb McGary,OT,Washington,07-Jun,317,5.05,33.5,23,111,7.66,4.58,31
Connor McGovern,OL,Penn State,05-Jun,308,,,28,112,7.66,4.57,90
Joshua Miles,OT,Morgan State,05-Jun,314,5.32,36,,109,8.07,4.75,248
Yosh Nijman,OT,Virginia Tech,07-Jun,324,,,27,114,8.07,4.5,-1
Iosua Opeta,OL,Weber State,04-Jun,301,5.02,33,39,112,8.06,4.94,-1
Javon Patterson,OL,Mississippi,03-Jun,307,5.13,27.5,27,98,7.72,4.78,246
Ross Pierschbacher,OT,Alabama,04-Jun,307,5.2,22.5,20,,7.83,4.7,153
Trey Pipkins,OT,Sioux Falls,06-Jun,309,5.12,33.5,16,114,7.61,4.7,91
Ryan Pope,OT,San Diego State,07-Jun,320,,,25,,,,-1
Ben Powers,OL,Oklahoma,04-Jun,307,,,21,,,,123
Isaiah Prince,OT,Ohio State,06-Jun,305,5.09,27,23,115,7.9,5.02,202
Dalton Risner,OT,Kansas State,05-Jun,312,5.3,28.5,23,110,7.69,4.52,41
Tyler Roemer,OT,San Diego State,06-Jun,312,5.21,30.5,18,108,7.75,4.76,-1
Dru Samia,OT,Oklahoma,05-Jun,305,5.29,27.5,28,101,7.89,4.7,114
Max Scharping,OT,Northern Illinois,06-Jun,327,,28,27,108,7.77,4.69,55
William Sweet,OT,North Carolina,06-Jun,313,5.27,30.5,23,111,8.01,5,-1
Trevon Tate,OL,Memphis,02-Jun,293,,,22,,,,-1
Jawaan Taylor,OT,Florida,05-Jun,312,,,24,,,,35
Oli Udoh,OT,Elon,05-Jun,323,5.05,28.5,26,105,7.88,5.05,-1
Jonah Williams,OT,Alabama,04-Jun,302,5.12,28,23,100,8.01,4.79,11
Trey Adams,OL,Washington,08-Jun,318,5.6,24.5,,92,,,-1
Hakeem Adeniji,OL,Kansas,04-Jun,302,5.17,34,26,115,,,180
Tremayne Anchrum,OL,Clemson,02-Jun,314,5.21,24.5,26,104,,,250
Ben Bartch,OL,Saint John's (MN),06-Jun,309,,,,,,,116
Mekhi Becton,OL,Louisville,07-Jun,364,5.1,,23,,,,11
Tyler Biadasz,OL,Wisconsin,04-Jun,314,,,,,,,146
Ben Bredeson,OL,Michigan,05-Jun,315,,,,,,,143
Cohl Cabral,OL,Arizona State,05-Jun,300,,,20,,,,-1
Saahdiq Charles,OL,LSU,04-Jun,321,5.05,,,,,,108
Cameron Clark,OL,Charlotte,04-Jun,308,5.29,25,26,101,,,129
Ezra Cleveland,OL,Boise State,06-Jun,311,4.93,30,30,111,7.26,4.46,58
Trystan Colon-Castillo,OL,Missouri,03-Jun,313,,,11,,,,-1
Lloyd Cushenberry,OL,LSU,03-Jun,312,5.27,,25,,,,83
Jack Driscoll,OL,Auburn,05-Jun,306,5.02,29.5,23,114,,,145
Yasir Durant,OL,Missouri,06-Jun,331,5.52,25,21,,,,-1
Jake Hanson,OL,Oregon,04-Jun,303,5.5,,33,,,,208
Nick Harris,OL,Washington,01-Jun,302,5.1,29.5,20,103,,,160
Charlie Heck,OL,North Carolina,08-Jun,311,5.16,28,21,112,8.02,4.86,126
Matt Hennessy,OL,Temple,04-Jun,307,5.18,30,23,110,7.45,4.6,78
Justin Herron,OL,Wake Forest,04-Jun,308,5.26,33,27,105,8.41,4.88,195
Robert Hunt,OL,Louisiana-Lafayette,05-Jun,323,,,,,,,39
Keith Ismael,OL,San Diego State,03-Jun,309,5.34,32,,108,8.14,4.65,156
Cordel Iwuagwu,OL,TCU,03-Jun,309,5.22,27,25,94,8.03,4.87,-1
Austin Jackson,OL,USC,05-Jun,322,5.07,31,27,115,7.95,,18
Jonah Jackson,OL,Ohio State,03-Jun,306,5.23,26,28,98,7.83,5.02,75
Joshua Jones,OL,Houston,05-Jun,319,5.27,28.5,24,109,,,72
Solomon Kindley,OL,Georgia,03-Jun,337,,,,,,,111
Shane Lemieux,OL,Oregon,04-Jun,310,5.11,25.5,,107,8.13,4.9,150
Damien Lewis,OL,LSU,02-Jun,327,5.24,30,27,108,,,69
Colton McKivitz,OL,West Virginia,06-Jun,306,5.35,26,20,106,7.87,5,153
John Molchon,OL,Boise State,05-Jun,309,5.13,34,26,109,7.85,4.73,-1
Kyle Murphy,OL,Rhode Island,03-Jun,316,5.3,28,19,104,7.81,4.68,-1
Netane Muti,OL,Fresno State,03-Jun,315,,,44,,,,181
Lucas Niang,OL,TCU,06-Jun,315,,,,,,,96
Mike Onwenu,OL,Michigan,03-Jun,344,,,26,,,,182
Matt Peart,OL,Connecticut,07-Jun,318,5.06,30,26,113,8.01,4.92,99
Tyre Phillips,OL,Mississippi State,05-Jun,331,5.37,25,22,93,8.17,5.11,106
Danny Pinter,OL,Ball State,04-Jun,306,4.91,29.5,24,110,7.76,4.62,149
Cesar Ruiz,OL,Michigan,03-Jun,307,5.08,33,28,113,7.91,4.64,24
Jon Runyan,OL,Michigan,04-Jun,306,5.08,30.5,24,107,7.57,4.69,192
John Simpson,OL,Clemson,04-Jun,321,5.24,30,34,107,8.03,4.87,109
Terence Steele,OL,Texas Tech,06-Jun,312,5.03,27.5,27,106,,5.08,-1
Logan Stenberg,OL,Kentucky,06-Jun,317,5.3,26,,104,8,4.83,121
Simon Stepaniak,OL,Indiana,04-Jun,313,,,37,,,,209
Alex Taylor,OL,South Carolina State,08-Jun,308,5.09,25,21,116,7.77,4.79,-1
Andrew Thomas,OL,Georgia,05-Jun,315,5.22,30.5,21,109,7.58,4.66,4
Calvin Throckmorton,OL,Oregon,05-Jun,317,5.57,27,23,97,8.07,4.98,-1
Prince Tega Wanogho,OL,Auburn,05-Jun,308,,,,,,,210
Darryl Williams,OL,Mississippi State,02-Jun,304,5.23,25.5,23,102,7.88,4.76,-1
Jedrick Wills,OL,Alabama,04-Jun,312,5.05,34.5,,113,,4.84,10
Isaiah Wilson,OL,Georgia,06-Jun,350,5.32,29,26,110,8.26,5.07,29
Tristan Wirfs,OL,Iowa,05-Jun,320,4.85,36.5,24,121,7.65,4.68,13
Jack Anderson,OL,Texas Tech,04-Jun,314,5.28,29.5,27,105,7.9,4.83,236
Calvin Ashley,OL,Florida A&M,06-Jun,314,5.49,29,15,105,7,5.1,-1
Kayode Awosika,OL,Buffalo,03-Jun,307,5.19,30,28,100,8.15,4.91,-1
Josh Ball,OL,Marshall,07-Jun,308,5.2,27.5,28,106,7.77,4.7,138
Aaron Banks,OL,Notre Dame,05-Jun,325,5.32,31,24,100,7.69,4.89,48
Cole Banwart,OL,Iowa,01-Jun,298,5.12,27.5,22,103,7.5,4.7,-1
Chase Behrndt,OL,West Virginia,03-Jun,324,5.55,24.5,25,101,8.21,4.93,-1
Larry Borom,OL,Missouri,05-Jun,322,5.12,31,,,,,151
Deonte Brown,OL,Alabama,03-Jun,344,,27,,,,,193
John Brunner,OL,North Texas,02-Jun,194,,32.5,11,121,6.77,4.3,-1
Jake Burton,OL,Baylor,05-Jun,303,5.49,26,22,100,8.22,4.97,-1
Donavaughn Campbell,OL,Louisiana Tech,04-Jun,336,5.62,22,,93,8.34,5.15,-1
Jackson Carman,OT,Clemson,04-Jun,317,,,,,,,46
Brady Christensen,OL,BYU,,,,34,30,124,,,70
Ben Cleveland,OL,Georgia,06-Jun,343,5.05,28,30,102,,4.88,94
Samuel Cosmi,OL,Texas,05-Jun,314,4.87,30,36,117,7.35,4.39,51
Harry Crider,OL,Indiana,02-Jun,307,5.25,27,31,102,7.63,4.68,-1
Jake Curhan,OL,California,05-Jun,316,5.45,24,15,102,8.07,4.84,-1
Drew Dalman,C,Stanford,03-Jun,299,5.11,33,33,109,7.33,4.52,114
Wyatt Davis,OL,Ohio St.,03-Jun,315,,,25,,,,86
Jon Dietzen,OL,Wisconsin,04-Jun,312,5.32,27,19,106,7.64,4.85,-1
Adrian Ealy,OL,Oklahoma,06-Jun,321,5.42,24.5,18,104,8.82,4.87,-1
Liam Eichenberg,OL,Notre Dame,06-Jun,306,,26.5,33,105,7.53,4.58,42
Matt Farniok,OL,Nebraska,05-Jun,311,5.2,33,28,105,7.14,4.8,-1
Stone Forsythe,OL,Florida,08-Jun,307,5.14,27.5,25,103,7.47,4.65,208
Will Fries,OL,Penn St.,06-Jun,309,5.37,31,24,115,7.77,4.53,248
